CustomerID,Lookalikes
C0001,"[('C0174', 0.9999918825241833), ('C0135', 0.9999874883044279), ('C0139', 0.9999856932236943)]"
C0002,"[('C0029', 0.9999726714540154), ('C0025', 0.9999674024019656), ('C0121', 0.9999623370697509)]"
C0003,"[('C0021', 0.9999997490790898), ('C0148', 0.9999995222165297), ('C0089', 0.9999966735321426)]"
C0004,"[('C0142', 0.9999993202546622), ('C0034', 0.9999982028493867), ('C0167', 0.9999975889243397)]"
C0005,"[('C0159', 0.9999950016337228), ('C0176', 0.9999870268582737), ('C0073', 0.9999770474967401)]"
C0006,"[('C0056', 0.9999995396571619), ('C0144', 0.9999989988772229), ('C0127', 0.9999987063796486)]"
C0007,"[('C0119', 0.9999902311692466), ('C0015', 0.9999887333643889), ('C0038', 0.9999789276414923)]"
C0008,"[('C0017', 0.9999991859389495), ('C0137', 0.9999986399219212), ('C0101', 0.9999976742252642)]"
C0009,"[('C0025', 0.9999956530828421), ('C0002', 0.9999424577745772), ('C0029', 0.9998382916167907)]"
C0010,"[('C0166', 0.9999981523119855), ('C0176', 0.9999929805404364), ('C0005', 0.9999631573193322)]"
C0011,"[('C0023', 0.9999961498115155), ('C0162', 0.9999760371086265), ('C0091', 0.9999596578479758)]"
C0012,"[('C0195', 0.9999998482149921), ('C0028', 0.9999979695175258), ('C0098', 0.9999959449337716)]"
C0013,"[('C0059', 0.9999998689361611), ('C0143', 0.9999986325847555), ('C0057', 0.999998586046139)]"
C0014,"[('C0071', 0.9999385641271501), ('C0043', 0.9994154884105034), ('C0128', 0.99788060587533)]"
C0015,"[('C0038', 0.9999976718393705), ('C0007', 0.9999887333643889), ('C0119', 0.9999845922584978)]"
C0016,"[('C0170', 0.9999992452669881), ('C0022', 0.9999974308783948), ('C0191', 0.9999972604510168)]"
C0017,"[('C0137', 0.999999847838089), ('C0101', 0.9999995256112414), ('C0008', 0.9999991859389495)]"
C0018,"[('C0065', 0.9999997561609929), ('C0055', 0.9999991810753176), ('C0039', 0.9999982074054417)]"
C0019,"[('C0070', 0.9999851317608323), ('C0147', 0.9999824674506113), ('C0161', 0.9999795612892037)]"
C0020,"[('C0079', 0.999977745545692), ('C0193', 0.9999649881153583), ('C0063', 0.999957573153924)]"
